Jahr;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen-Anhalt;Sachsen;Schleswig-Holstein;Thueringen;Deutschland;Süd_mean;Nord_mean
2012;31,20;26,98;10,53;10,52;16,75;17,74;20,89;9,44;16,77;21,86;21,38;28,43;11,00;17,76;18,70;18,45;20,18;29,09;15,88
2013;30,79;27,76;13,80;13,83;17,32;19,73;22,06;16,50;17,25;18,58;23,52;29,85;15,85;20,15;22,20;20,46;21,65;29,28;18,60
2014;27,48;24,63;11,16;11,25;16,85;19,52;21,64;14,10;16,89;22,58;22,43;26,02;12,91;15,36;22,14;18,22;19,99;26,06;17,90
2015;21,01;22,07;12,89;12,94;21,39;23,63;14,96;14,32;21,37;22,48;16,33;18,50;13,32;16,10;25,89;13,66;18,83;21,54;21,32
2016;28,69;26,66;9,71;9,74;14,89;16,52;16,85;9,11;14,84;19,72;21,64;28,77;9,48;18,09;18,20;15,67;18,88;27,68;14,71
2017;29,93;30,38;17,00;16,97;23,68;26,20;24,57;18,76;23,67;23,56;22,75;28,67;14,70;19,51;28,73;21,66;24,17;30,16;24,21
2018;23,11;22,63;8,24;8,25;12,00;12,69;15,31;9,31;12,01;16,51;18,24;27,40;6,60;11,42;13,36;12,74;15,57;22,87;11,87
2019;28,77;25,02;11,39;11,34;16,53;18,23;18,69;13,40;16,53;20,93;20,00;28,25;10,15;15,01;19,92;16,37;19,32;26,90;16,92
2020;26,46;26,57;11,27;11,29;16,78;18,73;17,22;13,11;16,80;18,19;19,51;28,21;10,33;16,07;20,65;17,80;19,19;26,52;17,21
2021;29,58;28,46;11,85;11,92;19,33;21,18;18,04;13,79;19,31;20,73;20,41;26,15;13,04;19,56;23,05;19,70;21,17;29,02;19,33
2022;25,66;23,97;8,08;8,13;15,87;17,41;19,32;10,30;15,85;20,81;21,05;26,69;7,42;12,85;18,96;14,96;17,92;24,82;15,68
2023;33,39;32,53;17,90;17,79;31,97;29,95;28,51;15,27;32,06;38,43;28,95;42,09;17,85;19,37;27,84;23,78;28,23;32,96;27,42
2024;34,33;32,65;13,87;13,95;25,48;26,81;26,34;17,03;25,46;30,14;28,60;38,90;14,91;17,98;28,15;23,23;26,03;33,49;24,59
