"OBSERVED_PROPERTY_ID";"OBSERVED_PROPERTY_CODE";"OBSERVED_PROPERTY_NAME";"OBSERVING_FACILITY_CODE";"OBSERVING_FACILITY_NAME";"PHENOMEN_TIME";"REFERENCE_TIME";"UOM";"VALUE";"NUTS_LEVEL";"SECTOR_ID"
1136685304;"RGN_DEU_P1Y_CH4_E_R_1001";"annually reported emissions of methane (CH4) from all sectors in kt/year";"DEA32";"Kreisfreie Stadt Gelsenkirchen";"P1Y/2018-12-31";"2018-12-31";"kt/year";2.1;3;1001
1136685304;"RGN_DEU_P1Y_CH4_E_R_1001";"annually reported emissions of methane (CH4) from all sectors in kt/year";"DEA33";"Kreisfreie Stadt Münster";"P1Y/2018-12-31";"2018-12-31";"kt/year";3.7;3;1001
1136685304;"RGN_DEU_P1Y_CH4_E_R_1001";"annually reported emissions of methane (CH4) from all sectors in kt/year";"DEA34";"Kreis Borken";"P1Y/2018-12-31";"2018-12-31";"kt/year";22.7;3;1001
1136685304;"RGN_DEU_P1Y_CH4_E_R_1001";"annually reported emissions of methane (CH4) from all sectors in kt/year";"DEA35";"Kreis Coesfeld";"P1Y/2018-12-31";"2018-12-31";"kt/year";12;3;1001
1136685304;"RGN_DEU_P1Y_CH4_E_R_1001";"annually reported emissions of methane (CH4) from all sectors in kt/year";"DEA36";"Kreis Recklinghausen";"P1Y/2018-12-31";"2018-12-31";"kt/year";14.6;3;1001
1136685304;"RGN_DEU_P1Y_CH4_E_R_1001";"annually reported emissions of methane (CH4) from all sectors in kt/year";"DEA37";"Kreis Steinfurt";"P1Y/2018-12-31";"2018-12-31";"kt/year";35.2;3;1001
1136685304;"RGN_DEU_P1Y_CH4_E_R_1001";"annually reported emissions of methane (CH4) from all sectors in kt/year";"DEA38";"Kreis Warendorf";"P1Y/2018-12-31";"2018-12-31";"kt/year";13.1;3;1001
1136685304;"RGN_DEU_P1Y_CH4_E_R_1001";"annually reported emissions of methane (CH4) from all sectors in kt/year";"DEA41";"Kreisfreie Stadt Bielefeld";"P1Y/2018-12-31";"2018-12-31";"kt/year";2.5;3;1001
1136685304;"RGN_DEU_P1Y_CH4_E_R_1001";"annually reported emissions of methane (CH4) from all sectors in kt/year";"DEA42";"Kreis Gütersloh";"P1Y/2018-12-31";"2018-12-31";"kt/year";7.9;3;1001
1136685304;"RGN_DEU_P1Y_CH4_E_R_1001";"annually reported emissions of methane (CH4) from all sectors in kt/year";"DEA43";"Kreis Herford";"P1Y/2018-12-31";"2018-12-31";"kt/year";3.2;3;1001
1136685304;"RGN_DEU_P1Y_CH4_E_R_1001";"annually reported emissions of methane (CH4) from all sectors in kt/year";"DEA44";"Kreis Höxter";"P1Y/2018-12-31";"2018-12-31";"kt/year";5.9;3;1001
